group,model,rmse,mae,mape,file_index
NCMCY45-05_1,PATCHTST,0.028691566,0.026666999,0.961860642,3
NCMCY45-05_1,PATCHTST,0.01271345,0.009915566,0.355955632,4
NCMCY45-05_1,PATCHTST,0.020805342,0.019670423,0.700660609,5
NCMCY45-05_1,PATCHTST,0.021491801,0.020326758,0.725229084,6
NCMCY45-05_1,PATCHTST,0.008694408,0.007005039,0.251465919,7
NCMCY45-05_1,PATCHTST,0.009125035,0.007160359,0.258258404,8
NCMCY45-05_1,PATCHTST,0.02381986,0.022821106,0.81948461,9
NCMCY45-05_1,Informer,0.046417393,0.04263906,1.548171695,0
NCMCY45-05_1,Informer,0.016588423,0.01311805,0.465941988,1
NCMCY45-05_1,Informer,0.0405146,0.036866516,1.298174169,2
NCMCY45-05_1,Informer,0.039160386,0.0361131,1.298198197,3
NCMCY45-05_1,Informer,0.061017048,0.058516245,2.07449086,4
NCMCY45-05_1,Informer,0.039902292,0.036244053,1.312657539,5
NCMCY45-05_1,Informer,0.042918574,0.03961601,1.398271229,6
NCMCY45-05_1,Informer,0.06383607,0.061641824,2.219504118,7
NCMCY45-05_1,Informer,0.09056829,0.087745786,3.173487261,8
NCMCY45-05_1,Informer,0.077256344,0.075802796,2.711191773,9
NCMCY35-05_1,IMOE,0.010794791,0.009704938,0.352054345,0
NCMCY35-05_1,IMOE,0.012138427,0.010074217,0.36587338,1
NCMCY35-05_1,IMOE,0.01212118,0.009761717,0.354456692,2
NCMCY35-05_1,IMOE,0.01100826,0.010015206,0.363037782,3
NCMCY35-05_1,IMOE,0.01045529,0.009759901,0.354487193,4
NCMCY35-05_1,IMOE,0.010141821,0.009804784,0.356130884,5
NCMCY35-05_1,IMOE,0.012375195,0.009823374,0.356912822,6
NCMCY35-05_1,IMOE,0.010196979,0.009834177,0.357289985,7
NCMCY35-05_1,IMOE,0.011718783,0.009872081,0.358352461,8
NCMCY35-05_1,IMOE,0.011616211,0.00982568,0.356432842,9
NCMCY35-05_1,PATCHTST,0.0305752,0.026498491,0.94958609,0
NCMCY35-05_1,PATCHTST,0.019786322,0.01616625,0.592784211,1
NCMCY35-05_1,PATCHTST,0.02831028,0.024552071,0.883105025,2
NCMCY35-05_1,PATCHTST,0.014851853,0.012041014,0.436261529,3
NCMCY35-05_1,PATCHTST,0.021241894,0.017242428,0.62027094,4
NCMCY35-05_1,PATCHTST,0.017781103,0.01444221,0.521150092,5
NCMCY35-05_1,PATCHTST,0.01366842,0.011196445,0.404380448,6
NCMCY35-05_1,PATCHTST,0.013961629,0.01139095,0.412108237,7
NCMCY35-05_1,PATCHTST,0.018155243,0.01471297,0.526995631,8
NCMCY35-05_1,PATCHTST,0.013957728,0.011413756,0.412857207,9
NCMCY35-05_1,Informer,0.008831088,0.007041624,0.257237884,0
NCMCY35-05_1,Informer,0.027080696,0.023519387,0.859799888,1
NCMCY35-05_1,Informer,0.032209568,0.028893452,1.042941026,2
NCMCY35-05_1,Informer,0.07166288,0.06973624,2.518022247,3
NCMCY35-05_1,Informer,0.03051163,0.026786447,0.987166353,4
NCMCY35-05_1,Informer,0.04284057,0.039220933,1.4449507,5
NCMCY35-05_1,Informer,0.021820668,0.018254884,0.670299865,6
NCMCY35-05_1,Informer,0.015860358,0.012750027,0.458276737,7
NCMCY35-05_1,Informer,0.018008113,0.014471647,0.520790927,8
NCMCY35-05_1,Informer,0.04988334,0.047360133,1.709980518,9
NCMCY25-05_1,IMOE,0.010935303,0.008349707,0.27316215,0
NCMCY25-05_1,IMOE,0.019032924,0.016285313,0.52999761,1
NCMCY25-05_1,IMOE,0.011057911,0.008466655,0.277047954,2
NCMCY25-05_1,IMOE,0.012505078,0.010416492,0.341830915,3
NCMCY25-05_1,IMOE,0.01461724,0.011584896,0.377632747,4
NCMCY25-05_1,IMOE,0.015761113,0.012888316,0.419626059,5
NCMCY25-05_1,IMOE,0.012330785,0.008792938,0.287110172,6
NCMCY25-05_1,IMOE,0.011431923,0.009119894,0.299196783,7
NCMCY25-05_1,IMOE,0.010727843,0.008434323,0.276324153,8
NCMCY25-05_1,IMOE,0.013175236,0.010382168,0.33855082,9
NCMCY25-05_1,PATCHTST,0.014899111,0.012013673,0.392535422,0
NCMCY25-05_1,PATCHTST,0.026186297,0.022334699,0.729969796,1
NCMCY25-05_1,PATCHTST,0.023594517,0.019946905,0.649478612,2
NCMCY25-05_1,PATCHTST,0.02014213,0.016582843,0.541118206,3
NCMCY25-05_1,PATCHTST,0.033975918,0.030806398,1.004749071,4
NCMCY25-05_1,PATCHTST,0.018188085,0.014461294,0.473045697,5
NCMCY25-05_1,PATCHTST,0.015107476,0.01210619,0.396178616,6
NCMCY25-05_1,PATCHTST,0.031896044,0.028442653,0.927122124,7
NCMCY25-05_1,PATCHTST,0.016073398,0.012963379,0.422706781,8
NCMCY25-05_1,PATCHTST,0.019126033,0.015399762,0.503506698,9
NCMCY25-05_1,Informer,0.007935746,0.004746018,0.156918296,0
NCMCY25-05_1,Informer,0.030082306,0.027071098,0.881061703,1
NCMCY25-05_1,Informer,0.04070772,0.038362484,1.248797029,2
NCMCY25-05_1,Informer,0.022441728,0.018749919,0.609321753,3
NCMCY25-05_1,Informer,0.050121844,0.04775555,1.560750231,4
NCMCY25-05_1,Informer,0.014535924,0.011427632,0.375131285,5
NCMCY25-05_1,Informer,0.023864014,0.020665077,0.672852295,6
NCMCY25-05_1,Informer,0.03407517,0.03147567,1.024170965,7
NCMCY25-05_1,Informer,0.02996488,0.026960824,0.877911504,8
NCMCY25-05_1,Informer,0.01426847,0.011520096,0.376393367,9
NCMNCACY25-05_1,IMOE,0.008117274,0.005725007,0.281572249,0
NCMNCACY25-05_1,IMOE,0.01053267,0.008562435,0.425911229,1
NCMNCACY25-05_1,IMOE,0.00877193,0.006422502,0.32774196,2
NCMNCACY25-05_1,IMOE,0.008468465,0.006038102,0.293123303,3
NCMNCACY25-05_1,IMOE,0.010897977,0.008943523,0.441370858,4
NCMNCACY25-05_1,IMOE,0.006883537,0.004144132,0.211931881,5
NCMNCACY25-05_1,IMOE,0.010107831,0.008183145,0.408794917,6
NCMNCACY25-05_1,IMOE,0.008032513,0.005374205,0.266182586,7
NCMNCACY25-05_1,IMOE,0.007194771,0.004581527,0.226153666,8
NCMNCACY25-05_1,IMOE,0.006936248,0.003984283,0.203213794,9
NCMNCACY25-05_1,PATCHTST,0.013339512,0.010849811,0.551180262,0
NCMNCACY25-05_1,PATCHTST,0.015231812,0.012833039,0.64341221,1
NCMNCACY25-05_1,PATCHTST,0.010959564,0.008504265,0.41735163,2
NCMNCACY25-05_1,PATCHTST,0.012822067,0.010553208,0.54083541,3
NCMNCACY25-05_1,PATCHTST,0.015517958,0.012629876,0.62107062,4
NCMNCACY25-05_1,PATCHTST,0.009510741,0.007178361,0.368851493,5
NCMNCACY25-05_1,PATCHTST,0.009158699,0.00671793,0.33329993,6
NCMNCACY25-05_1,PATCHTST,0.010425179,0.007927871,0.389249087,7
NCMNCACY25-05_1,PATCHTST,0.009346341,0.006865704,0.344910659,8
NCMNCACY25-05_1,PATCHTST,0.01006012,0.007664406,0.386101287,9
