PolynomialFeatures,MLP,PATCHTST_MAPE,Informer_MAPE,IMOE-woFO,IMOE-linear,IMOE
1.116132668,0.883220141,0.592784211,0.859799888,0.34596757,3.164049238,0.36587338
1.660289465,1.011722792,0.883105025,1.042941026,0.329632871,2.838820964,0.354456692
0.302347451,0.861228973,0.436261529,2.518022247,0.426989794,3.092422895,0.363037782
0.172268661,0.780595982,0.62027094,0.987166353,0.427286839,4.506704956,0.354487193
0.142928181,1.220675058,0.521150092,1.4449507,1.163955312,0.470597856,0.356130884
0.403029604,0.767592808,0.404380448,0.670299865,1.181425247,0.401712116,0.356912822
0.175930896,0.890971139,0.412108237,0.458276737,1.197880041,0.528085232,0.357289985
0.244570067,0.68400417,0.526995631,0.520790927,2.381593734,0.469787791,0.358352461
0.128736826,1.195619155,0.412857207,1.709980518,1.098986529,0.43426971,0.356432842
0.124766916,0.536894132,0.392535422,0.156918296,1.004415657,0.403154315,0.27316215
0.34117872,0.869863033,0.729969796,0.881061703,1.035629958,0.402434124,0.52999761
0.313456528,1.048927701,0.649478612,1.248797029,1.129027642,0.387433683,0.277047954
0.698396394,0.97060781,0.541118206,0.609321753,0.97212838,0.429804949,0.341830915
0.15432826,1.172103156,1.004749071,1.560750231,0.966044236,0.37652764,0.377632747
0.205790002,0.862132634,0.473045697,0.375131285,1.720659249,0.992953312,0.419626059
0.613531499,0.88935043,0.396178616,0.672852295,1.784158871,0.967157166,0.287110172
0.385113322,1.069820198,0.927122124,1.024170965,1.766820438,1.173577178,0.299196783
0.236426506,0.861248191,0.422706781,0.877911504,1.658457518,0.950250123,0.276324153
0.251968826,0.585054774,0.503506698,0.376393367,2.001783811,1.040613279,0.33855082
0.234047882,0.39733517,0.551180262,0.909307692,0.52929651,1.11235287,0.281572249
0.205961817,0.564795568,0.64341221,1.194712799,0.192338577,1.141848229,0.425911229
0.377113127,0.438601132,0.41735163,0.567658665,0.278643984,1.13494033,0.32774196
0.546729558,0.591734015,0.54083541,1.604721509,0.208342471,1.156897284,0.293123303
0.296918089,0.470979811,0.62107062,0.868939329,0.489139277,1.110092178,0.441370858
0.442264201,0.537941316,0.368851493,0.890414231,0.372881885,3.617759421,0.211931881
0.314939381,0.733155004,0.33329993,1.551051438,0.34287048,3.209616244,0.408794917
0.100321364,0.461897307,0.389249087,0.975417253,0.34310387,3.343350813,0.266182586
0.293856972,0.556066538,0.344910659,1.6798703,0.351123675,1.451956667,0.226153666
0.26906617,0.574270421,0.386101287,1.275557652,0.350507419,3.042147495,0.203213794
0.168907452,0.393594852,0.649147946,0.606273068,0.276174652,0.28174941,0.557461288
0.130171257,0.433914089,1.171981264,2.641896345,0.240248698,0.309455674,0.548350345
0.162728932,0.366032473,1.170118339,2.307807468,0.237776665,0.288754376,0.643158844
0.396700221,0.434878081,1.41656138,1.208183635,0.244497787,0.285583246,0.649262406
0.187987742,0.473159702,1.014325302,1.35972444,0.258336263,0.26997868,0.55357297
0.225521605,0.556833499,0.639846548,0.899566989,0.244992482,0.357444095,0.469044177
0.148075876,0.435072667,0.496399496,1.02860732,0.250333222,0.361289782,0.407273183
0.115007606,0.433431812,0.995489676,2.229453996,0.237859879,0.360115501,0.442429446
0.175848848,0.418418525,0.863089506,0.810717233,0.273018237,0.362747069,0.500036636
0.24400254,0.379646729,0.952738151,0.752313528,0.250484259,0.357766706,0.606909953
0.165428346,0.434091221,0.632026466,0.556526612,0.368093024,0.316850701,0.269606593
0.166278272,0.46738442,0.665187044,2.750990726,0.414424855,0.329352939,0.34956031
0.181398192,0.462172998,0.614038948,0.535210734,0.34044527,0.311153987,0.248689973
0.467721407,0.398333475,0.593220163,3.0917475,0.371643831,0.310948608,0.398374489
0.539963322,0.562148718,0.904167071,0.668746326,0.355817983,0.305226911,0.304335612
0.537834269,0.629628283,0.370955141,0.770338718,0.267409883,0.24898767,0.346003077
0.562148968,0.496946679,0.422456628,0.500500482,0.309217814,0.240973034,0.267498521
0.629007121,0.42323148,0.41598808,1.480968017,0.264995475,0.239469809,0.556329452
0.614587237,0.568846516,0.454379944,1.283428539,0.295001408,0.250155083,0.384627073
0.546190048,0.443906996,0.425403798,0.699741626,0.271664048,0.244837324,0.245447713
1.981459168,,16.43962264,16.5053159,16.36635065,0.348574342,2.645173296
2.374153673,,16.11105651,16.42548144,16.17833972,0.351277576,2.971374057
2.225257812,,16.44687206,16.6863516,16.0688132,0.345614529,2.878102474
2.81485997,,16.34314805,16.53626859,15.98853469,0.368470373,2.750616334
2.479123058,,16.16715342,16.17800742,15.98273814,0.357084908,3.035083227
3.126339517,,16.2082985,16.35885239,16.72978252,0.26562931,2.964852937
2.42189953,,17.23672897,16.60363674,17.15277284,0.261654868,2.578690648
2.512467272,,16.10662192,16.40731692,16.12216979,0.26677351,2.857938223
2.996526665,,16.1847055,16.19354784,16.05245471,0.277315639,2.661482431
0.857361795,,16.25107229,16.56590998,16.52844697,0.26366692,2.720497549
1.253074853,,29.2547822,30.89721799,31.44843578,3.097692691,3.49554196
0.758453842,,29.60384786,31.48622513,29.41884398,2.961199917,3.41972746
1.62998885,,28.83953452,30.66953719,33.10742378,3.150583431,3.567004576
0.668612524,,39.05366361,30.62475622,31.07886612,3.08538489,2.73288358
0.635781326,,30.30901849,30.87970912,31.10542893,2.991371602,2.725808136
0.761342105,,29.54242229,30.80581725,30.64569533,4.578303918,2.46244818
0.589915086,,28.9811939,30.2303791,30.38188219,3.279240802,3.01549267
1.035571294,,30.13090789,30.93322515,30.28225601,3.062715568,2.546188794
,,28.69445682,31.33000433,31.04920089,3.787007555,2.312957123
,,28.89707685,31.4067781,29.34861481,3.578551859,3.297296166
,,2.416681685,2.666177414,1.751368865,1.932413504,1.838156581
,,2.259015106,2.360240743,1.849823259,1.726535894,1.773436554
,,2.315004542,2.917515859,1.693347469,1.902538538,1.784926094
,,2.380036749,3.396624699,2.038322389,1.883443817,2.062053233
,,2.308798954,2.313403785,1.958267577,1.907670312,1.920318417
,,2.260021307,2.923673019,1.741013303,1.940869726,1.621225104
,,2.163105272,2.294102497,1.784355007,1.930946484,1.713822596
,,2.095832117,1.955007948,1.75646767,1.89227201,1.822458208
,,2.785726637,3.382683173,1.820817031,1.907884143,1.670850255
,,2.37496458,2.588520385,1.81891378,1.778108068,2.005918697
