Model,Group,Type,MAPE
SOC40,NCACY25-025_1,Current,2.9672939120380035
SOC40,NCACY25-025_1,Current,3.015739017705208
SOC40,NCACY25-025_1,Current,3.1840050001903304
SOC40,NCACY25-025_1,Current,3.031616542184973
SOC40,NCACY25-05_1,Current,2.0524107324711687
SOC40,NCACY25-05_1,Current,1.9644814420369476
SOC40,NCACY25-05_1,Current,1.7784941423346394
SOC40,NCACY25-05_1,Current,1.6121465015326162
SOC40,NCACY25-05_1,Current,1.8098850513376685
SOC40,NCACY25-05_1,Current,1.768354339134147
SOC40,NCACY25-05_1,Current,2.6580704697380733
SOC40,NCACY25-05_1,Current,1.718356983864738
SOC40,NCACY25-05_1,Current,1.843767922429387
SOC40,NCACY25-05_1,Current,2.510900824635934
SOC40,NCACY25-1_1,Current,1.0359834361034186
SOC40,NCACY25-1_1,Current,0.962333905848674
SOC40,NCACY25-1_1,Current,1.0758190271748296
SOC40,NCACY25-1_1,Current,0.983522338603514
SOC40,NCACY25-1_1,Current,1.2258904257715346
SOC40,NCACY25-1_1,Current,1.7947455702685806
SOC40,NCACY25-1_1,Current,1.0329931309033762
SOC40,NCACY25-1_1,Current,2.102170875074057
SOC40,NCACY25-1_1,Current,2.5679433549390427
SOC40,NCACY25-1_1,Current,2.0001177183207814
SOC40,NCMCY45-05_1,Current,0.6076425233784888
SOC40,NCMCY45-05_1,Current,1.235790722587411
SOC40,NCMCY45-05_1,Current,1.0062883211908586
SOC40,NCMCY45-05_1,Current,0.8717904574938434
SOC40,NCMCY45-05_1,Current,1.0259216221873348
SOC40,NCMCY45-05_1,Current,0.8655864412089967
SOC40,NCMCY45-05_1,Current,0.6506973398185871
SOC40,NCMCY45-05_1,Current,0.576874250453833
SOC40,NCMCY45-05_1,Current,1.3552044465460986
SOC40,NCMCY45-05_1,Current,0.544885991550482
SOC40,NCMCY35-05_1,Current,0.5772070811892447
SOC40,NCMCY35-05_1,Current,0.688995840141984
SOC40,NCMCY35-05_1,Current,0.5443031803295344
SOC40,NCMCY35-05_1,Current,0.5466786918217917
SOC40,NCMCY35-05_1,Current,0.8022293331966142
SOC40,NCMCY35-05_1,Current,0.9381990991193809
SOC40,NCMCY35-05_1,Current,0.5548391324136642
SOC40,NCMCY35-05_1,Current,1.1713692768721158
SOC40,NCMCY35-05_1,Current,0.57357080098495
SOC40,NCMCY35-05_1,Current,0.6116286235184349
SOC40,NCMCY25-05_1,Current,1.0934970626378784
SOC40,NCMCY25-05_1,Current,0.9662177868673834
SOC40,NCMCY25-05_1,Current,0.6778805337790824
SOC40,NCMCY25-05_1,Current,1.2530325898601737
SOC40,NCMCY25-05_1,Current,1.0156866763742567
SOC40,NCMCY25-05_1,Current,0.8684860379465271
SOC40,NCMCY25-05_1,Current,1.3716112053899547
SOC40,NCMCY25-05_1,Current,0.8123912132184576
SOC40,NCMCY25-05_1,Current,0.7833448495368461
SOC40,NCMCY25-05_1,Current,0.9809128075821981
