Group,Model,MAPE
NCACY25-1_1,ex4,1.20155
NCACY25-1_1,ex5,0.9573009
NCACY25-1_1,ex5,0.9524233
NCACY25-1_1,ex5,0.984345
NCACY25-1_1,ex5,0.9563461
NCACY25-1_1,ex5,0.94686586
NCACY25-1_1,ex5,1.0412195
NCACY25-1_1,ex5,0.98103297
NCACY25-1_1,ex5,0.9474447
NCACY25-1_1,ex5,1.0484104
NCACY25-1_1,ex5,0.97485876
NCACY25-1_1,ex6,0.95833296
NCACY25-1_1,ex6,0.9564833
NCACY25-1_1,ex6,2.3570743
NCACY25-1_1,ex6,0.9910973
NCACY25-1_1,ex6,1.057441
NCACY25-1_1,ex6,0.9725457
NCACY25-1_1,ex6,1.0162338
NCACY25-1_1,ex6,0.99790543
NCACY25-1_1,ex6,1.0895381
NCACY25-1_1,ex6,0.91576475
NCACY25-1_1,ex7,1.0000358
NCACY25-1_1,ex7,1.0365361
NCACY25-1_1,ex7,0.99493796
NCACY25-1_1,ex7,0.93244857
NCACY25-1_1,ex7,1.0299584
NCACY25-1_1,ex7,1.0322526
NCACY25-1_1,ex7,0.90001225
NCACY25-1_1,ex7,1.0439922
NCACY25-1_1,ex7,1.012982
NCACY25-1_1,ex7,1.0458935
NCMCY45-05_1,ex3,0.34551287
NCMCY45-05_1,ex3,0.38975877
NCMCY45-05_1,ex3,0.2928626
NCMCY45-05_1,ex3,0.31031588
NCMCY45-05_1,ex3,0.4325635
NCMCY45-05_1,ex3,0.3407601
NCMCY45-05_1,ex3,0.31947386
NCMCY45-05_1,ex3,0.29676142
NCMCY45-05_1,ex3,0.33762112
NCMCY45-05_1,ex3,0.2950203
NCMCY45-05_1,ex4,0.30207008
NCMCY45-05_1,ex4,0.2634256
NCMCY45-05_1,ex4,0.50885236
NCMCY45-05_1,ex4,0.3394731
NCMCY45-05_1,ex4,0.27710527
NCMCY45-05_1,ex4,0.4916017
NCMCY45-05_1,ex4,0.44546837
NCMCY45-05_1,ex4,0.29600546
NCMCY45-05_1,ex4,0.2899334
NCMCY45-05_1,ex4,0.4478531
NCMCY45-05_1,ex5,0.3124955
NCMCY45-05_1,ex5,0.28769556
NCMCY45-05_1,ex5,0.377768
NCMCY45-05_1,ex5,0.28181604
NCMCY45-05_1,ex5,0.28485093
NCMCY45-05_1,ex5,0.27676004
NCMCY45-05_1,ex5,0.28102484
NCMCY45-05_1,ex5,0.37468407
NCMCY45-05_1,ex5,0.289657
NCMCY45-05_1,ex5,0.2673606
NCMCY45-05_1,ex6,0.32899407
NCMCY45-05_1,ex6,0.36271238
NCMCY45-05_1,ex6,0.37779558
NCMCY45-05_1,ex6,0.34739277
NCMCY45-05_1,ex6,0.33829516
NCMCY45-05_1,ex6,0.4445918
NCMCY45-05_1,ex6,0.28618473
NCMCY45-05_1,ex6,0.30841362
NCMCY45-05_1,ex6,0.30789888
NCMCY45-05_1,ex6,0.31131232
NCMCY45-05_1,ex7,0.38979986
NCMCY45-05_1,ex7,0.2621622
NCMCY45-05_1,ex7,0.29872647
NCMCY45-05_1,ex7,0.2661013
NCMCY45-05_1,ex7,0.43477523
NCMCY45-05_1,ex7,0.2949229
NCMCY45-05_1,ex7,0.338013
NCMCY45-05_1,ex7,0.37572473
NCMCY45-05_1,ex7,0.5846859
NCMCY45-05_1,ex7,0.35270864
NCMCY35-05_1,ex3,0.3578915
NCMCY35-05_1,ex3,0.39178315
NCMCY35-05_1,ex3,0.39345697
NCMCY35-05_1,ex3,0.35610837
NCMCY35-05_1,ex3,0.35512623
NCMCY35-05_1,ex3,0.3665105
NCMCY35-05_1,ex3,0.3573694
NCMCY35-05_1,ex3,0.3678277
NCMCY35-05_1,ex3,0.5352356
NCMCY35-05_1,ex3,0.3662909
NCMCY35-05_1,ex4,0.35883522
NCMCY35-05_1,ex4,0.36290222
NCMCY35-05_1,ex4,0.37231958
NCMCY35-05_1,ex4,0.66283995
NCMCY35-05_1,ex4,0.66906226
NCMCY35-05_1,ex4,0.35365486
NCMCY35-05_1,ex4,0.36345425
NCMCY35-05_1,ex4,0.3723551
NCMCY35-05_1,ex4,0.38789165
NCMCY35-05_1,ex4,0.35748783
NCMCY35-05_1,ex5,0.35205436
NCMCY35-05_1,ex5,0.36587337
NCMCY35-05_1,ex5,0.3544567
NCMCY35-05_1,ex5,0.3630378
NCMCY35-05_1,ex5,0.35448718
NCMCY35-05_1,ex5,0.3561309
NCMCY35-05_1,ex5,0.35691282
NCMCY35-05_1,ex5,0.35728997
NCMCY35-05_1,ex5,0.35835245
NCMCY35-05_1,ex5,0.35643286
NCMCY35-05_1,ex6,0.4775546
NCMCY35-05_1,ex6,0.3626218
NCMCY35-05_1,ex6,0.3595306
NCMCY35-05_1,ex6,0.4091463
NCMCY35-05_1,ex6,0.35359314
NCMCY35-05_1,ex6,0.37788337
NCMCY35-05_1,ex6,0.35419065
NCMCY35-05_1,ex6,0.36899722
NCMCY35-05_1,ex6,0.35842493
NCMCY35-05_1,ex6,0.41556093
NCMCY35-05_1,ex7,0.36220804
NCMCY35-05_1,ex7,0.36208943
NCMCY35-05_1,ex7,0.35885566
NCMCY35-05_1,ex7,0.36128044
NCMCY35-05_1,ex7,0.46758786
NCMCY35-05_1,ex7,0.6233136
NCMCY35-05_1,ex7,0.35907838
NCMCY35-05_1,ex7,0.3587896
NCMCY35-05_1,ex7,0.34917223
NCMCY35-05_1,ex7,0.3747141
NCMCY25-05_1,ex3,0.32224026
NCMCY25-05_1,ex3,0.31268767
NCMCY25-05_1,ex3,0.28951347
NCMCY25-05_1,ex3,0.36346012
NCMCY25-05_1,ex3,0.38600695
NCMCY25-05_1,ex3,0.32173547
NCMCY25-05_1,ex3,0.6223554
NCMCY25-05_1,ex3,0.3186222
NCMCY25-05_1,ex3,0.45892653
NCMCY25-05_1,ex3,0.3223075
NCMCY25-05_1,ex4,0.3081358
NCMCY25-05_1,ex4,0.42603448
NCMCY25-05_1,ex4,0.44889635
NCMCY25-05_1,ex4,0.3219012
NCMCY25-05_1,ex4,0.38243955
NCMCY25-05_1,ex4,0.47768587
NCMCY25-05_1,ex4,0.2793555
NCMCY25-05_1,ex4,0.6992468
NCMCY25-05_1,ex4,0.3826537
NCMCY25-05_1,ex4,0.34159625
NCMCY25-05_1,ex5,0.27316216
NCMCY25-05_1,ex5,0.5299976
NCMCY25-05_1,ex5,0.27704796
NCMCY25-05_1,ex5,0.3418309
NCMCY25-05_1,ex5,0.37763274
NCMCY25-05_1,ex5,0.41962606
NCMCY25-05_1,ex5,0.28711018
NCMCY25-05_1,ex5,0.29919678
NCMCY25-05_1,ex5,0.27632415
NCMCY25-05_1,ex5,0.3385508
NCMCY25-05_1,ex6,0.2714972
NCMCY25-05_1,ex6,0.2909854
NCMCY25-05_1,ex6,0.65838563
NCMCY25-05_1,ex6,0.5306921
NCMCY25-05_1,ex6,0.37786892
NCMCY25-05_1,ex6,0.30481714
NCMCY25-05_1,ex6,0.8194359
NCMCY25-05_1,ex6,0.68248785
NCMCY25-05_1,ex6,0.5048448
NCMCY25-05_1,ex6,0.39917225
NCMCY25-05_1,ex7,0.29389966
NCMCY25-05_1,ex7,0.30119812
NCMCY25-05_1,ex7,0.9495323
NCMCY25-05_1,ex7,0.41130158
NCMCY25-05_1,ex7,0.28775406
NCMCY25-05_1,ex7,0.68711644
NCMCY25-05_1,ex7,0.3011904
NCMCY25-05_1,ex7,0.34845203
NCMCY25-05_1,ex7,0.3817063
NCMCY25-05_1,ex7,0.5159128
NCMNCACY25-05_1,ex3,0.24264984
NCMNCACY25-05_1,ex3,0.24860916
NCMNCACY25-05_1,ex3,0.47900492
NCMNCACY25-05_1,ex3,0.30602494
NCMNCACY25-05_1,ex3,0.4545366
NCMNCACY25-05_1,ex3,0.25965577
NCMNCACY25-05_1,ex3,0.37225148
NCMNCACY25-05_1,ex3,0.3345786
NCMNCACY25-05_1,ex3,0.44984892
NCMNCACY25-05_1,ex3,0.28716496
NCMNCACY25-05_1,ex4,0.24253164
NCMNCACY25-05_1,ex4,0.24858977
NCMNCACY25-05_1,ex4,0.41321394
NCMNCACY25-05_1,ex4,0.23030578
NCMNCACY25-05_1,ex4,0.5847902
NCMNCACY25-05_1,ex4,0.29564494
NCMNCACY25-05_1,ex4,0.24517046
NCMNCACY25-05_1,ex4,0.2577344
NCMNCACY25-05_1,ex4,0.52246845
NCMNCACY25-05_1,ex4,0.22813715
NCMNCACY25-05_1,ex5,0.28157225
NCMNCACY25-05_1,ex5,0.42591122
NCMNCACY25-05_1,ex5,0.32774195
NCMNCACY25-05_1,ex5,0.2931233
NCMNCACY25-05_1,ex5,0.44137084
NCMNCACY25-05_1,ex5,0.21193188
NCMNCACY25-05_1,ex5,0.4087949
NCMNCACY25-05_1,ex5,0.26618257
NCMNCACY25-05_1,ex5,0.22615367
NCMNCACY25-05_1,ex5,0.2032138
NCMNCACY25-05_1,ex6,0.27034074
NCMNCACY25-05_1,ex6,0.36523637
NCMNCACY25-05_1,ex6,0.25765485
NCMNCACY25-05_1,ex6,0.24598005
NCMNCACY25-05_1,ex6,0.24353461
NCMNCACY25-05_1,ex6,0.26381552
NCMNCACY25-05_1,ex6,0.233881
NCMNCACY25-05_1,ex6,0.2663692
NCMNCACY25-05_1,ex6,0.23603174
NCMNCACY25-05_1,ex6,0.3693511
NCMNCACY25-05_1,ex7,0.23575991
NCMNCACY25-05_1,ex7,0.32178935
NCMNCACY25-05_1,ex7,0.28077966
NCMNCACY25-05_1,ex7,0.48045638
NCMNCACY25-05_1,ex7,0.46463287
NCMNCACY25-05_1,ex7,0.26067978
NCMNCACY25-05_1,ex7,0.2424657
NCMNCACY25-05_1,ex7,0.2636974
NCMNCACY25-05_1,ex7,0.27614778
NCMNCACY25-05_1,ex7,0.25728872
NCMNCACY25-05_2,ex3,0.48790953
NCMNCACY25-05_2,ex3,0.80879813
NCMNCACY25-05_2,ex3,0.49605587
NCMNCACY25-05_2,ex3,0.41539186
NCMNCACY25-05_2,ex3,0.57098216
NCMNCACY25-05_2,ex3,0.4309805
NCMNCACY25-05_2,ex3,0.5090263
NCMNCACY25-05_2,ex3,0.5504346
NCMNCACY25-05_2,ex3,0.6111146
NCMNCACY25-05_2,ex3,0.46414337
NCMNCACY25-05_2,ex4,0.41908953
NCMNCACY25-05_2,ex4,0.40015495
NCMNCACY25-05_2,ex4,0.5124653
NCMNCACY25-05_2,ex4,1.3522105
NCMNCACY25-05_2,ex4,0.45568246
NCMNCACY25-05_2,ex4,0.63248694
NCMNCACY25-05_2,ex4,0.38942817
NCMNCACY25-05_2,ex4,0.7377141
NCMNCACY25-05_2,ex4,0.38738087
NCMNCACY25-05_2,ex4,0.7551376
NCMNCACY25-05_2,ex5,0.55746126
NCMNCACY25-05_2,ex5,0.54835033
NCMNCACY25-05_2,ex5,0.64315885
NCMNCACY25-05_2,ex5,0.6492624
NCMNCACY25-05_2,ex5,0.55357295
NCMNCACY25-05_2,ex5,0.46904418
NCMNCACY25-05_2,ex5,0.40727317
NCMNCACY25-05_2,ex5,0.44242945
NCMNCACY25-05_2,ex5,0.50003666
NCMNCACY25-05_2,ex5,0.60690993
NCMNCACY25-05_2,ex6,0.79512316
NCMNCACY25-05_2,ex6,0.6794003
NCMNCACY25-05_2,ex6,0.39127558
NCMNCACY25-05_2,ex6,0.44113714
NCMNCACY25-05_2,ex6,0.6562417
NCMNCACY25-05_2,ex6,0.47478393
NCMNCACY25-05_2,ex6,0.9865734
NCMNCACY25-05_2,ex6,0.57790744
NCMNCACY25-05_2,ex6,0.51321805
NCMNCACY25-05_2,ex6,0.45340672
NCMNCACY25-05_2,ex7,0.5081611
NCMNCACY25-05_2,ex7,0.7123261
NCMNCACY25-05_2,ex7,0.53589314
NCMNCACY25-05_2,ex7,0.42608055
NCMNCACY25-05_2,ex7,0.52042836
NCMNCACY25-05_2,ex7,0.6593086
NCMNCACY25-05_2,ex7,0.51093954
NCMNCACY25-05_2,ex7,0.9428859
NCMNCACY25-05_2,ex7,0.6170725
NCMNCACY25-05_2,ex7,0.4670628
NCMNCACY25-05_4,ex3,0.5022985
NCMNCACY25-05_4,ex3,0.30261558
NCMNCACY25-05_4,ex3,0.25838202
NCMNCACY25-05_4,ex3,0.3265618
NCMNCACY25-05_4,ex3,0.30262637
NCMNCACY25-05_4,ex3,0.40004784
NCMNCACY25-05_4,ex3,2.7255075
NCMNCACY25-05_4,ex3,0.51834303
NCMNCACY25-05_4,ex3,0.40883628
NCMNCACY25-05_4,ex3,0.45270935
NCMNCACY25-05_4,ex4,0.24226528
NCMNCACY25-05_4,ex4,0.28471288
NCMNCACY25-05_4,ex4,0.37036887
NCMNCACY25-05_4,ex4,0.3241159
