Model,Condition,MAPE
pre150,NCACY25-1_1,1.62754
pre150,NCACY25-1_1,0.98352
pre150,NCACY25-1_1,1.22589
pre150,NCACY25-1_1,1.79475
pre150,NCACY25-1_1,1.03299
pre30,NCMCY45-05_1,0.33994
pre30,NCMCY45-05_1,0.26461
pre30,NCMCY45-05_1,0.30422
pre30,NCMCY45-05_1,0.27236
pre30,NCMCY45-05_1,0.37686
pre30,NCMCY45-05_1,0.27775
pre30,NCMCY45-05_1,0.35615
pre30,NCMCY45-05_1,0.26239
pre30,NCMCY45-05_1,0.27511
pre30,NCMCY45-05_1,0.47928
pre50,NCMCY45-05_1,0.3125
pre50,NCMCY45-05_1,0.2877
pre50,NCMCY45-05_1,0.37777
pre50,NCMCY45-05_1,0.28182
pre50,NCMCY45-05_1,0.28485
pre50,NCMCY45-05_1,0.27676
pre50,NCMCY45-05_1,0.28102
pre50,NCMCY45-05_1,0.37468
pre50,NCMCY45-05_1,0.28966
pre50,NCMCY45-05_1,0.26736
pre80,NCMCY45-05_1,0.41485
pre80,NCMCY45-05_1,0.31927
pre80,NCMCY45-05_1,0.29138
pre80,NCMCY45-05_1,0.30316
pre80,NCMCY45-05_1,0.30108
pre80,NCMCY45-05_1,0.36375
pre80,NCMCY45-05_1,0.27591
pre80,NCMCY45-05_1,0.27563
pre80,NCMCY45-05_1,0.38279
pre80,NCMCY45-05_1,0.31224
pre100,NCMCY45-05_1,0.39072
pre100,NCMCY45-05_1,0.45265
pre100,NCMCY45-05_1,0.36113
pre100,NCMCY45-05_1,0.66392
pre100,NCMCY45-05_1,0.42878
pre100,NCMCY45-05_1,0.31656
pre100,NCMCY45-05_1,0.27859
pre100,NCMCY45-05_1,0.29527
pre100,NCMCY45-05_1,0.337
pre100,NCMCY45-05_1,0.45606
pre150,NCMCY45-05_1,0.27703
pre150,NCMCY45-05_1,0.44007
pre150,NCMCY45-05_1,0.41416
pre150,NCMCY45-05_1,0.5661
pre150,NCMCY45-05_1,0.58808
pre150,NCMCY45-05_1,0.46427
pre150,NCMCY45-05_1,0.41965
pre150,NCMCY45-05_1,0.30821
pre150,NCMCY45-05_1,0.47435
pre150,NCMCY45-05_1,0.32741
pre30,NCMCY35-05_1,0.35552
pre30,NCMCY35-05_1,0.34263
pre30,NCMCY35-05_1,0.60285
pre30,NCMCY35-05_1,0.36116
pre30,NCMCY35-05_1,0.36185
pre30,NCMCY35-05_1,1.99441
pre30,NCMCY35-05_1,0.4791
pre30,NCMCY35-05_1,1.0753
pre30,NCMCY35-05_1,0.48417
pre30,NCMCY35-05_1,0.46703
pre50,NCMCY35-05_1,0.35205
pre50,NCMCY35-05_1,0.36587
pre50,NCMCY35-05_1,0.35446
pre50,NCMCY35-05_1,0.36304
pre50,NCMCY35-05_1,0.35449
pre50,NCMCY35-05_1,0.35613
pre50,NCMCY35-05_1,0.35691
pre50,NCMCY35-05_1,0.35729
pre50,NCMCY35-05_1,0.35835
pre50,NCMCY35-05_1,0.35643
pre80,NCMCY35-05_1,0.3942
pre80,NCMCY35-05_1,0.38204
pre80,NCMCY35-05_1,0.84756
pre80,NCMCY35-05_1,1.03904
pre80,NCMCY35-05_1,0.4145
pre80,NCMCY35-05_1,0.36362
pre80,NCMCY35-05_1,0.36164
pre80,NCMCY35-05_1,0.3659
pre80,NCMCY35-05_1,0.35681
pre80,NCMCY35-05_1,0.36565
pre100,NCMCY35-05_1,0.38133
pre100,NCMCY35-05_1,0.35283
pre100,NCMCY35-05_1,0.35632
pre100,NCMCY35-05_1,0.3677
pre100,NCMCY35-05_1,0.55051
pre100,NCMCY35-05_1,0.86662
pre100,NCMCY35-05_1,0.37758
pre100,NCMCY35-05_1,0.38099
pre100,NCMCY35-05_1,0.36834
pre100,NCMCY35-05_1,0.40253
pre150,NCMCY35-05_1,0.39415
pre150,NCMCY35-05_1,0.39504
pre150,NCMCY35-05_1,0.37042
pre150,NCMCY35-05_1,0.37055
pre150,NCMCY35-05_1,0.38315
pre150,NCMCY35-05_1,0.47492
pre150,NCMCY35-05_1,1.74346
pre150,NCMCY35-05_1,1.37553
pre150,NCMCY35-05_1,0.38391
pre150,NCMCY35-05_1,0.74287
pre30,NCMCY25-05_1,0.34599
pre30,NCMCY25-05_1,0.46378
pre30,NCMCY25-05_1,0.31293
pre30,NCMCY25-05_1,0.33209
pre30,NCMCY25-05_1,0.5276
pre30,NCMCY25-05_1,0.32452
pre30,NCMCY25-05_1,0.38256
pre30,NCMCY25-05_1,0.53464
pre30,NCMCY25-05_1,0.28455
pre30,NCMCY25-05_1,0.42737
pre50,NCMCY25-05_1,0.27316
pre50,NCMCY25-05_1,0.53
pre50,NCMCY25-05_1,0.27705
pre50,NCMCY25-05_1,0.34183
pre50,NCMCY25-05_1,0.37763
pre50,NCMCY25-05_1,0.41963
pre50,NCMCY25-05_1,0.28711
pre50,NCMCY25-05_1,0.2992
pre50,NCMCY25-05_1,0.27632
pre50,NCMCY25-05_1,0.33855
pre80,NCMCY25-05_1,0.43151
pre80,NCMCY25-05_1,0.2884
pre80,NCMCY25-05_1,0.5103
pre80,NCMCY25-05_1,0.3763
pre80,NCMCY25-05_1,0.30977
pre80,NCMCY25-05_1,0.29501
pre80,NCMCY25-05_1,0.49767
pre80,NCMCY25-05_1,0.67707
pre80,NCMCY25-05_1,0.32731
pre80,NCMCY25-05_1,0.55487
pre100,NCMCY25-05_1,0.42638
pre100,NCMCY25-05_1,0.31315
pre100,NCMCY25-05_1,0.28978
pre100,NCMCY25-05_1,0.54232
pre100,NCMCY25-05_1,0.56669
pre100,NCMCY25-05_1,0.41254
pre100,NCMCY25-05_1,0.95053
pre100,NCMCY25-05_1,0.4457
pre100,NCMCY25-05_1,0.49005
pre100,NCMCY25-05_1,0.50788
pre150,NCMCY25-05_1,0.57653
pre150,NCMCY25-05_1,0.57024
pre150,NCMCY25-05_1,0.46916
pre150,NCMCY25-05_1,0.47298
pre150,NCMCY25-05_1,0.38156
pre150,NCMCY25-05_1,1.4847
pre150,NCMCY25-05_1,0.47222
pre150,NCMCY25-05_1,0.47093
