Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
3,"[0.027, 0.03152653061224498, 0.03927909542195248, 0.04888383045525894, 0.061, 0.075, 0.087, 0.10084523809523813, 0.11295018007202873, 0.12685289115646253, 0.141, 0.153, 0.165, 0.18062480376766077, 0.194, 0.20873795918367327, 0.22474448979591827, 0.2446310204081631, 0.27315755102040806, 0.296, 0.32318877551020403, 0.3661011904761905, 0.411, 0.47602040816326524, 0.529153061224489, 0.5951601255886968, 0.6599419152276293, 0.7460313971742544, 0.8044489795918366, 0.898429387755102, 0.9669081632653056, 1.035859329446064, 1.1035736348593492, 1.1677823129251699, 1.2116367346938774, 1.261, 1.3088351020408162, 1.354, 1.378728163265306, 1.426, 1.455181224489796, 1.494, 1.526, 1.565, 1.5896326530612246, 1.617, 1.6485404081632653, 1.6737892544773012, 1.7040765306122447, 1.738]",2.4,25,-7.2,1.856,1.861
4,"[0.027, 0.031, 0.03763044677330387, 0.04788383045525894, 0.060971088435373924, 0.07287265306122452, 0.08659404302261439, 0.10342261904761897, 0.114, 0.12585289115646253, 0.13971938775510206, 0.151, 0.1645799319727892, 0.18132489795918363, 0.1949603174603174, 0.20845408163265283, 0.224, 0.24575725026852835, 0.2703282312925169, 0.29568408163265286, 0.323, 0.3651011904761905, 0.407, 0.47203020408163254, 0.5330382653061223, 0.5895029154518949, 0.6569419152276293, 0.7480313971742544, 0.8250204081632652, 0.896, 0.962, 1.034859329446064, 1.099, 1.157, 1.2078053935860058, 1.2617218045112781, 1.31, 1.3474200680272108, 1.378, 1.420774693877551, 1.4615542427497312, 1.4913911564625848, 1.524404761904762, 1.564079484425349, 1.5845102040816326, 1.617, 1.6461161695447406, 1.680139455782313, 1.702, 1.736]",2.4,25,-7.2,1.853,1.856
5,"[0.026, 0.030089481946624724, 0.038, 0.046, 0.06, 0.07283243823845333, 0.08626971869829006, 0.1, 0.11140612244897949, 0.125, 0.1383596938775511, 0.14935767991407084, 0.1635799319727892, 0.17862480376766077, 0.19369142857142851, 0.20730272108843525, 0.22274448979591827, 0.24307755102040762, 0.271, 0.29368408163265286, 0.32179251700680256, 0.36, 0.421189044038668, 0.45653146258503396, 0.537, 0.5931301020408162, 0.6579419152276293, 0.7330313971742544, 0.8090204081632653, 0.8968257456828882, 0.9649081632653056, 1.0347374149659863, 1.098, 1.156, 1.209, 1.261, 1.307, 1.347, 1.3758455473098328, 1.422530612244898, 1.461015606242497, 1.493521541950113, 1.52546992481203, 1.5610974325213953, 1.5805102040816326, 1.614, 1.6445404081632653, 1.6711394557823132, 1.7010765306122448, 1.733]",2.4,25,-7.2,1.85,1.854
6,"[0.026, 0.029688506981740092, 0.0369330612244897, 0.046, 0.058466122448979446, 0.073, 0.08426971869829007, 0.09942261904761898, 0.11363893249607501, 0.12385289115646252, 0.137, 0.14857664926435687, 0.16271995464852612, 0.17762480376766077, 0.1916914285714285, 0.20724768089053794, 0.223, 0.2419482676791646, 0.263, 0.294, 0.326, 0.358, 0.4220876057740169, 0.457, 0.5350382653061223, 0.5911301020408162, 0.6659419152276294, 0.7310313971742544, 0.812, 0.901, 0.9635735767991404, 1.036859329446064, 1.096, 1.154, 1.2077959183673468, 1.257, 1.3046564625850336, 1.349, 1.3774772370486652, 1.425, 1.454, 1.4911514154048715, 1.522, 1.5584314868804654, 1.586, 1.614, 1.6423004081632653, 1.667, 1.703, 1.731]",2.4,25,-7.2,1.848,1.851
7,"[0.024, 0.02930612244897962, 0.03627909542195248, 0.045, 0.05798612244897949, 0.06975510204081634, 0.0821880860452288, 0.098, 0.11133224489795904, 0.12185289115646251, 0.13571938775510206, 0.148, 0.1602783673469388, 0.17562480376766076, 0.19037662337662334, 0.20545408163265283, 0.2199795918367347, 0.241, 0.26615755102040806, 0.29239246467817864, 0.31959438775510196, 0.3586171428571428, 0.4062244897959183, 0.45891982507288637, 0.5315567346938774, 0.5970743440233235, 0.6654897959183672, 0.729, 0.812, 0.8779387755102039, 0.963, 1.030859329446064, 1.1056846609611586, 1.1603755102040814, 1.221091836734694, 1.256, 1.3038351020408163, 1.3417514577259475, 1.378477237048665, 1.4202274052478132, 1.456470663265306, 1.487, 1.5207142857142857, 1.5562323390894814, 1.578, 1.604, 1.64, 1.6645697278911566, 1.696, 1.728]",2.4,25,-7.2,1.844,1.847
8,"[0.024, 0.028993720565149268, 0.0363934693877552, 0.045, 0.057, 0.071, 0.08282040816326539, 0.097, 0.111, 0.12262653061224489, 0.13651530612244914, 0.14643519029233315, 0.16318274582560297, 0.17567755102040827, 0.188, 0.206, 0.22009410430838994, 0.24, 0.2649608843537417, 0.2909779591836734, 0.3277806122448978, 0.371, 0.4202488800398208, 0.457, 0.534, 0.5913814756671899, 0.6639409237379161, 0.7494458398744114, 0.801, 0.898, 0.9790710204081632, 1.036018775510204, 1.113, 1.1551004709576138, 1.201, 1.251951127819549, 1.3016331901181526, 1.348, 1.374, 1.4144693877551018, 1.45, 1.487, 1.517, 1.5551181525241675, 1.581367346938776, 1.603846530612245, 1.6377497314715361, 1.666, 1.6950867346938776, 1.727]",2.4,25,-7.2,1.842,1.845
9,"[0.022, 0.02668850698174009, 0.035, 0.04388383045525893, 0.055, 0.06946938775510214, 0.08, 0.096, 0.10740612244897949, 0.11985289115646251, 0.134, 0.146, 0.16, 0.172, 0.1886914285714285, 0.2037379591836733, 0.218, 0.24, 0.26515755102040806, 0.291, 0.319, 0.3621011904761905, 0.4183897959183673, 0.45837528344671197, 0.5167004964147821, 0.5901301020408162, 0.661, 0.745, 0.806, 0.8958257456828882, 0.9639081632653056, 1.031, 1.107, 1.1569293987865417, 1.202, 1.256, 1.3006564625850336, 1.347, 1.374728163265306, 1.4211720904578047, 1.4513485086342228, 1.4853911564625848, 1.518, 1.5542323390894814, 1.5806326530612245, 1.605, 1.6361161695447406, 1.663, 1.6950765306122448, 1.725]",2.4,25,-7.2,1.837,1.84
10,"[0.023, 0.02752653061224498, 0.034, 0.04293959183673464, 0.05564739229024929, 0.06875510204081633, 0.081, 0.097, 0.10687313844456689, 0.11885289115646251, 0.133, 0.14511370262390663, 0.159, 0.171, 0.1862114285714285, 0.20245408163265285, 0.21850863422291972, 0.2396310204081631, 0.26532823129251687, 0.29, 0.32518877551020403, 0.3611011904761905, 0.41922448979591825, 0.455, 0.533, 0.5990520408163265, 0.6559419152276293, 0.75, 0.809, 0.895, 0.9739081632653056, 1.0336717687074828, 1.1107095761381476, 1.1586899275839366, 1.211, 1.253860902255639, 1.3006564625850336, 1.343, 1.378, 1.41, 1.4473485086342228, 1.4843911564625847, 1.517, 1.5541208163265303, 1.5786326530612245, 1.6075445757250268, 1.6361161695447406, 1.6690452289023718, 1.697, 1.726]",2.4,25,-7.2,1.841,1.843
11,"[0.022, 0.026, 0.03327909542195248, 0.042, 0.053971088435373925, 0.06675510204081633, 0.07920945220193334, 0.095, 0.10521858216970988, 0.11685289115646252, 0.13071938775510206, 0.142, 0.1555799319727892, 0.17006235827664387, 0.1842114285714285, 0.199, 0.215, 0.23629042386185214, 0.26215755102040805, 0.28739772187944934, 0.31659438775510196, 0.352, 0.4153897959183673, 0.45253146258503396, 0.5110765306122445, 0.587, 0.656, 0.746, 0.8135476190476187, 0.8936224489795914, 0.9599081632653056, 1.029859329446064, 1.09, 1.156, 1.213, 1.2515934065934062, 1.3056564625850338, 1.335, 1.364, 1.408774693877551, 1.449697521865889, 1.4813911564625848, 1.513404761904762, 1.5502323390894814, 1.577, 1.601, 1.6331161695447407, 1.661, 1.6867808807733617, 1.722]",2.4,25,-7.2,1.836,1.835
12,"[0.004, 0.004902567478604333, 0.00788306674020979, 0.010418575593502762, 0.01385387755102035, 0.016910037484381517, 0.02155432984004416, 0.027104247104247196, 0.033144511858797576, 0.040481946624803686, 0.05001933404940941, 0.056644081632653144, 0.070340136054421, 0.0793282312925172, 0.09055428571428564, 0.1011145490454247, 0.11214115646258492, 0.12473224489795917, 0.13792244897959194, 0.1509559183673469, 0.16389030612244887, 0.1823869047619048, 0.19738218923933193, 0.21559353741496576, 0.2358016326530612, 0.2593617810760667, 0.29788184747583224, 0.3434458398744114, 0.38335714285714273, 0.43721938775510194, 0.4820934479054779, 0.5260361067503924, 0.5843723110865968, 0.6341044897959183, 0.6824897959183673, 0.7258571428571429, 0.7889217687074827, 0.8336649659863945, 0.8766844583987438, 0.9269795918367345, 0.9745524781341106, 1.019108843537415, 1.0715476190476187, 1.1281795918367346, 1.1743673469387759, 1.218946017116524, 1.2821726844583985, 1.3381802721088436, 1.3911734693877549, 1.453]",4.8,25,-7.2,1.636,1.651
